id:[303042564]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[1]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[-26.6900005340576172,-20.2100009918212891]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042568]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[2]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[-19.9899997711181641,-13.5100002288818359]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042572]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[3]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[-13.2899999618530273,-6.8100004196166992]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042576]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[4]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[-6.5900001525878906,-0.1099998950958252]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042580]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[5]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[+0.1099998950958252,+6.5900001525878906]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042584]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[6]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[+6.8100004196166992,+13.2899999618530273]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042588]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[7]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[+13.5100002288818359,+19.9899997711181641]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303042592]; subdetid:[1]; layer:[1]; ladder:[ 1]; module:[8]; phi:[-0.0431847348809242,+0.5347741246223450]; z:[+20.2100009918212891,+26.6900005340576172]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303046660]; subdetid:[1]; layer:[1]; ladder:[ 2]; module:[1]; phi:[+0.5091434717178345,+1.0296434164047241]; z:[-26.6900005340576172,-20.2100009918212891]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303046664]; subdetid:[1]; layer:[1]; ladder:[ 2]; module:[2]; phi:[+0.5091434717178345,+1.0296434164047241]; z:[-19.9899997711181641,-13.5100002288818359]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303046668]; subdetid:[1]; layer:[1]; ladder:[ 2]; module:[3]; phi:[+0.5091434717178345,+1.0296434164047241]; z:[-13.2899999618530273,-6.8100004196166992]; r:[3.1478054523468018,3.1753542423248291]; 
